series,term_period,term_code,n,scheduled_residual,realized_proceeds,excess_fees
Volkswagen Auto Lease Trust 2024-A,2026-01-30,1,830,16922717.779999997,20926291.759999998,600.0
Volkswagen Auto Lease Trust 2024-A,2026-01-30,2,15958,344976771.37,452971051.176979,1455750.5899999999
Volkswagen Auto Lease Trust 2024-A,2026-01-30,3,386,8171715.1,9256270.24,0.0
Volkswagen Auto Lease Trust 2024-A,2026-01-30,98,313,6591673.89,5332726.24,2385.0
Volkswagen Auto Lease Trust 2024-A,2026-02-27,1,43,941305.97,1172372.1099999999,0.0
Volkswagen Auto Lease Trust 2024-A,2026-02-27,2,1525,35277536.83,41205477.894093,280576.23
Volkswagen Auto Lease Trust 2024-A,2026-02-27,3,24,507909.51,389822.12,0.0
Volkswagen Auto Lease Trust 2024-A,2026-02-27,98,15,368186.74,103554.77999999998,0.0
Volkswagen Auto Lease Trust 2024-A,2026-03-31,1,73,1685364.34,2093270.4100000004,327.31
Volkswagen Auto Lease Trust 2024-A,2026-03-31,2,2328,53213369.75,63501003.49478701,432819.62
Volkswagen Auto Lease Trust 2024-A,2026-03-31,3,18,372445.54999999993,315848.11,0.0
Volkswagen Auto Lease Trust 2024-A,2026-03-31,98,21,485907.33,213147.84000000003,0.0
Volkswagen Auto Lease Trust 2024-A,2026-04-30,1,117,2507824.7,3104982.8800000004,0.0
Volkswagen Auto Lease Trust 2024-A,2026-04-30,2,2355,53919285.49,64361763.405065,307771.57
Volkswagen Auto Lease Trust 2024-A,2026-04-30,3,15,362421.85000000003,338033.39999999997,0.0
Volkswagen Auto Lease Trust 2024-A,2026-04-30,98,18,470422.51999999996,158908.07,0.0
Volkswagen Auto Lease Trust 2024-A,2026-05-29,1,83,1832191.33,2244460.0100000002,0.0
Volkswagen Auto Lease Trust 2024-A,2026-05-29,2,2261,52658264.28,62630447.269765,132269.53
Volkswagen Auto Lease Trust 2024-A,2026-05-29,3,16,332945.38,248632.84999999998,0.0
Volkswagen Auto Lease Trust 2024-A,2026-05-29,98,13,312609.28,5623.4,0.0
Volkswagen Auto Lease Trust 2025-A,2026-01-30,1,45,936157.0,1526501.86,0.0
Volkswagen Auto Lease Trust 2025-A,2026-01-30,2,1872,40534251.52,63748480.230000004,28275.440000000002
Volkswagen Auto Lease Trust 2025-A,2026-01-30,3,41,908432.0,934537.6000000001,0.0
Volkswagen Auto Lease Trust 2025-A,2026-01-30,98,60,1412182.0,1467631.8400000003,0.0
Volkswagen Auto Lease Trust 2025-A,2026-02-27,1,12,209005.0,295550.25,0.0
Volkswagen Auto Lease Trust 2025-A,2026-02-27,2,303,6641876.09,9232259.91,20225.059999999998
Volkswagen Auto Lease Trust 2025-A,2026-02-27,3,15,325844.28,286912.72,0.0
Volkswagen Auto Lease Trust 2025-A,2026-02-27,98,24,551652.0,292726.69,0.0
Volkswagen Auto Lease Trust 2025-A,2026-03-31,1,12,156044.0,209018.13999999998,0.0
Volkswagen Auto Lease Trust 2025-A,2026-03-31,2,390,8242323.02,11380797.693638,10035.529999999999
Volkswagen Auto Lease Trust 2025-A,2026-03-31,3,8,175729.0,183022.0,0.0
