issuer_code,reporting_date,active_count,count_current,count_30_59,count_60_plus,balance_total,sec_value_total,base_residual_total,vehicle_value_total,alg_count,blackbook_count,other_source_count
NALT,2020-01-01,262910,260728,1625,557,6271669016.449957,4913281012.640003,3730768548.640024,8816373943.18,262546,0,364
NALT,2020-02-01,257141,255488,1212,441,6060698677.790018,4752243362.270016,3645669393.0300407,8624212942.18,256802,0,339
NALT,2020-03-01,249712,247303,1955,454,5823489928.120035,4569066490.240017,3537329647.5700397,8379597805.23,249408,0,304
NALT,2020-04-01,233844,232328,944,572,5422346052.640002,4248006454.260007,3290381728.800009,7826836271.23,233577,0,267
NALT,2020-05-01,229358,226405,2344,609,5251825449.100012,4120136243.8100014,3228323814.6000566,7681625112.23,229102,0,256
NALT,2020-06-01,222601,220920,1086,595,5042046189.24996,3960769278.8800116,3135515807.9199886,7463360045.23,222360,0,241
NALT,2020-07-01,214828,212910,1400,518,4819703750.030012,3791270751.779999,3031564280.6700263,7215500066.139999,214599,0,229
NALT,2020-08-01,281589,279725,1343,521,6543041269.990004,5154425479.7999935,3993091762.7299924,9396320372.36,281209,0,380
NALT,2020-09-01,271022,269492,1022,508,6249783774.369993,4931993944.299991,3853655667.900012,9058504745.51,270653,0,369
NALT,2020-10-01,260510,258441,1535,534,5957868438.91,4709474458.080011,3712528592.6200047,8715929479.23,260151,0,359
NALT,2020-11-01,250474,248812,1129,533,5681692893.7300005,4498539681.740031,3577782080.920013,8388949117.23,250127,0,347
NALT,2020-12-01,239269,237043,1666,560,5385402233.080008,4270504741.5899878,3423373074.6200147,8018950557.23,238936,0,333
NALT,2021-01-01,228139,226150,1433,556,5096723032.370001,4046657530.230012,3268945981.0699906,7654126157.23,227820,0,319
NALT,2021-02-01,217866,216175,1267,424,4825745406.999999,3835714235.709995,3124093985.770019,7315160792.23,217568,0,298
NALT,2021-03-01,196512,195262,975,275,4347490951.139961,3453388116.230004,2811536106.9699774,6591283137.23,196252,0,260
NALT,2021-04-01,185785,184775,724,286,4073481856.959981,3239711856.689994,2658855473.0700054,6232824132.23,185540,0,245
NALT,2021-05-01,174713,173452,955,306,3795573510.770006,3023317560.2600007,2502538543.469996,5861263883.25,174482,0,231
NALT,2021-06-01,163791,162760,777,254,3523974079.1199813,2812103578.1700144,2348730712.0699964,5493639228.25,163567,0,224
NALT,2021-07-01,153800,152548,971,281,3275631924.5000033,2618930389.779997,2207588293.7700076,5156357878.25,153586,0,214
NALT,2021-08-01,144274,143123,878,273,3042449079.9999895,2438247772.749998,2074272326.3199797,4835401463.25,144069,0,205
NALT,2021-09-01,177312,176472,615,225,4046785276.0899935,3286258817.5100045,2631562007.9299974,5931092606.25,175160,0,2152
NALT,2021-10-01,169479,168163,1051,265,3832026039.8099937,3120647198.9199924,2518292946.6199813,5663599711.25,167358,0,2121
NALT,2021-11-01,162103,161025,775,303,3629661154.2699804,2964995001.2899914,2411992579.9199986,5412680021.25,160004,0,2099
NALT,2021-12-01,152568,151243,991,334,3388953178.08999,2777832699.0200024,2273026765.56999,5086177806.25,150495,0,2073
NALT,2022-01-01,133052,132052,737,263,2967220490.560007,2441042848.420008,1985266936.9899893,4419579487.0,131023,0,2029
NALT,2022-02-01,127079,126199,667,213,2808204558.500003,2315824466.5800004,1899715172.1899877,4227228932.0,125097,0,1982
NALT,2022-03-01,119155,118357,641,157,2617260981.540004,2163420180.1799946,1786088551.0899854,3972056182.0,117230,0,1925
NALT,2022-04-01,112588,111913,485,190,2453411041.669999,2032832094.8299928,1690765247.9399962,3758509802.0,110711,0,1877
NALT,2022-05-01,166979,166161,623,195,4108785428.959992,3426512621.8700147,2698746502.359998,5693130214.0,150441,0,16538
NALT,2022-06-01,148239,147420,621,198,3562509873.9400015,2979744067.9999943,2382664542.5300064,5048007806.0,134697,0,13542
NALT,2022-07-01,141278,140166,871,241,3376541060.479988,2833577361.409994,2281264714.53001,4818567437.0,127927,0,13351
NALT,2022-08-01,125076,124239,641,196,3012406327.229989,2542470042.7599993,2037809997.130005,4247289585.0,111911,0,13165
NALT,2022-09-01,120137,119368,575,194,2868236950.969989,2428513987.010007,1962799990.980013,4080762635.0,107227,0,12910
NALT,2022-10-01,165457,164465,752,240,4381432292.349995,3665429182.810009,2844820809.5300093,5708710880.0,146534,0,18923
