series,reporting_date,active_count,count_current,count_30_59,count_60_plus,balance_total,sec_value_total,base_residual_total,vehicle_value_total,alg_count,blackbook_count,other_source_count,vintage_month
Volkswagen Auto Lease Trust 2023-A,2023-11-30,58176,57837,258,81,1967547606.5403907,1626374430.5900104,1208428607.3450017,2549311069.0,56474,0,1702,4
Volkswagen Auto Lease Trust 2023-A,2023-12-29,57651,57300,256,95,1928319840.9700074,1597278803.2000046,1198389507.0950031,2528024114.0,55979,0,1672,5
Volkswagen Auto Lease Trust 2023-A,2024-12-31,42018,41541,346,131,1284353575.1774068,1063251616.7655052,899221881.3800045,1899689252.0,40825,0,1193,17
Volkswagen Auto Lease Trust 2023-A,2025-12-31,17574,17315,162,97,509187145.6485011,402597333.75200015,387888757.6650042,823309494.0,17389,0,185,29
Volkswagen Auto Lease Trust 2024-A,2026-01-30,36327,35847,316,164,1116842497.8981004,909032989.0178881,813581314.6099784,1698758474.0,36193,0,134,24
Volkswagen Auto Lease Trust 2024-A,2024-01-31,53227,53227,0,0,2113394401.0235972,1744186117.3200002,1177814675.6100094,2458310342.0,52947,0,280,0
Volkswagen Auto Lease Trust 2024-A,2025-01-31,47499,46955,370,174,1667921976.4448965,1381392347.2177129,1058038757.3699816,2207225882.0,47153,0,346,12
Volkswagen Auto Lease Trust 2024-A,2026-02-27,34764,34366,247,151,1056246849.5385987,858469926.2715981,777419247.6099975,1623386057.0,34627,0,137,25
Volkswagen Auto Lease Trust 2024-A,2025-02-28,46832,46359,323,150,1628362396.8080072,1348103244.284803,1043892706.9899971,2177601877.0,46495,0,337,13
Volkswagen Auto Lease Trust 2024-A,2024-03-29,52728,52505,183,40,2049376913.682109,1695990464.8900077,1167429573.0999951,2436249514.0,52456,0,272,2
Volkswagen Auto Lease Trust 2024-A,2025-03-31,46039,45540,359,140,1584670358.268199,1310624446.000303,1027078209.8199837,2142392173.0,45721,0,318,14
Volkswagen Auto Lease Trust 2024-A,2026-03-31,32356,31940,269,147,969748196.4269001,785431073.0314,722342480.0999814,1509127120.0,32211,0,145,26
Volkswagen Auto Lease Trust 2024-A,2024-04-30,52436,52125,238,73,2014745362.4365916,1668674543.399988,1161343229.4400065,2423276939.0,52166,0,270,3
Volkswagen Auto Lease Trust 2024-A,2025-04-30,45259,44782,330,147,1542495065.345086,1274156176.138594,1010712149.88,2108137774.0,44974,0,285,15
Volkswagen Auto Lease Trust 2024-A,2026-04-30,29887,29525,226,136,885278297.2181966,714751892.1500018,665876861.1899846,1392512490.0,29729,0,158,27
