series,reporting_date,active_count,count_current,count_30_59,count_60_plus,balance_total,sec_value_total,base_residual_total,vehicle_value_total,alg_count,blackbook_count,other_source_count,vintage_month
GM Financial Automobile Leasing Trust 2018-2,2020-03-31,26948,26555,322,71,678450697.9000003,537428128.5500001,490594345.3200001,1102339931.33,26881,0,67,23
GM Financial Automobile Leasing Trust 2018-2,2018-04-30,56084,56084,0,0,1777653971.4899974,1362697503.089995,1011449634.2300041,2212029725.88,55953,0,131,0
GM Financial Automobile Leasing Trust 2018-2,2019-04-30,49158,48928,124,106,1356915385.4299977,1061351498.3700011,889859886.2800019,1954057410.87,49052,0,106,12
GM Financial Automobile Leasing Trust 2018-2,2020-04-30,26125,25818,190,117,648943514.9499972,514508737.3799998,475048068.99000174,1069051586.3299999,26062,0,63,24
GM Financial Automobile Leasing Trust 2018-2,2018-05-31,55905,55548,356,1,1750530843.2599876,1344387138.5399964,1008141129.440004,2204839885.88,55777,0,128,1
GM Financial Automobile Leasing Trust 2018-2,2019-05-31,47547,47067,368,112,1300461208.859999,1018388623.6699989,861485932.3100035,1894809015.87,47445,0,102,13
GM Financial Automobile Leasing Trust 2018-2,2020-05-31,24710,24315,261,134,606463389.2100024,481326398.499999,449153357.180001,1011900621.3299999,24649,0,61,25
GM Financial Automobile Leasing Trust 2018-2,2018-06-30,55700,55560,102,38,1722893818.5599976,1325503967.6300008,1004517041.6300014,2196868725.88,55572,0,128,2
GM Financial Automobile Leasing Trust 2018-2,2019-06-30,45818,45555,145,118,1243106829.8100014,974688429.8999997,830497949.2200023,1829974594.87,45720,0,98,14
GM Financial Automobile Leasing Trust 2018-2,2020-06-30,22301,22112,104,85,542618021.0099986,431044734.6999985,405432546.28000027,914992788.21,22245,0,56,26
GM Financial Automobile Leasing Trust 2018-2,2018-07-31,55418,54996,363,59,1693857794.6500063,1305525829.9700022,999385417.190003,2185884835.88,55292,0,126,3
GM Financial Automobile Leasing Trust 2018-2,2019-07-31,43452,42928,407,117,1171352371.5200005,919122430.9799943,787983136.7299993,1740965766.12,43365,0,87,15
GM Financial Automobile Leasing Trust 2018-2,2020-07-31,18676,18439,178,59,453128261.1200006,360717259.2400011,340929684.0299995,770758387.21,18623,0,53,27
GM Financial Automobile Leasing Trust 2018-2,2018-08-31,55082,54648,372,62,1662750647.4800165,1283824873.530013,993571249.8800026,2173151605.88,54956,0,126,4
GM Financial Automobile Leasing Trust 2018-2,2019-08-31,41349,40841,365,143,1106288615.790002,868979598.2199888,750757694.080002,1662272381.12,41266,0,83,16
GM Financial Automobile Leasing Trust 2018-2,2020-08-31,15884,15654,178,52,383132040.1499998,305378528.6699997,290364738.76,658638628.21,15836,0,48,28
GM Financial Automobile Leasing Trust 2018-2,2018-09-30,54776,54594,103,79,1633942551.0000076,1263883319.9500024,988072909.479999,2161327630.88,54652,0,124,5
GM Financial Automobile Leasing Trust 2018-2,2019-09-30,39605,39326,160,119,1050933335.3400017,826676508.9700016,719971633.7899991,1597048601.12,39523,0,82,17
GM Financial Automobile Leasing Trust 2018-2,2020-09-30,13131,12984,93,54,314357996.4900006,250759297.51000035,239692042.75000045,546506648.21,13087,0,44,29
GM Financial Automobile Leasing Trust 2018-2,2018-10-31,54380,53863,440,77,1602002733.61,1241202412.8899927,980925573.8600024,2145904425.8799999,54257,0,123,6
GM Financial Automobile Leasing Trust 2018-2,2019-10-31,37359,36860,373,126,983273105.4500024,774111056.2600039,679199548.3300023,1511459210.85,37280,0,79,18
GM Financial Automobile Leasing Trust 2018-2,2020-10-31,10102,9959,104,39,241012831.15999976,192923518.54000053,185113032.2199999,423829491.51,10064,0,38,30
GM Financial Automobile Leasing Trust 2018-2,2018-11-30,53883,53662,121,100,1567588522.5000048,1216470353.4700012,971845952.5300033,2126404467.8799999,53762,0,121,7
GM Financial Automobile Leasing Trust 2018-2,2019-11-30,35404,35119,155,130,924608342.0599992,728857016.4399978,644106987.9600012,1436622120.85,35327,0,77,19
GM Financial Automobile Leasing Trust 2018-2,2018-12-31,53372,52740,514,118,1534238236.7499976,1192375228.550001,962608881.8300031,2106926747.8799999,53254,0,118,8
GM Financial Automobile Leasing Trust 2018-2,2019-12-31,33280,32736,399,145,860890407.6000046,679342498.0500032,605834186.2100036,1354117694.85,33207,0,73,20
GM Financial Automobile Leasing Trust 2018-3,2019-01-31,54064,53713,275,76,1575373181.6599975,1225039605.4700139,979060678.5600054,2131321120.83,53844,0,220,6
GM Financial Automobile Leasing Trust 2018-3,2020-01-31,35143,34823,225,95,923398300.7599974,731591761.7199997,641612649.9099956,1421600413.03,34989,0,154,18
