series,term_period,term_code,n,scheduled_residual,realized_proceeds,excess_fees
BMW Vehicle Lease Trust 2021-1,2023-06-30,2,1244,33728323.809999995,0.0,49541.130000000005
BMW Vehicle Lease Trust 2021-1,2023-06-30,3,5,109143.9,143247.71999999997,0.0
BMW Vehicle Lease Trust 2021-1,2023-06-30,4,1,27328.15,0.0,0.0
BMW Vehicle Lease Trust 2021-2,2021-09-30,4,11,319616.2,0.0,0.0
BMW Vehicle Lease Trust 2021-2,2021-10-31,4,4,107401.84999999999,0.0,0.0
BMW Vehicle Lease Trust 2021-2,2021-11-30,4,2,45286.1,0.0,0.0
BMW Vehicle Lease Trust 2021-2,2021-12-31,4,2,48744.65,0.0,0.0
BMW Vehicle Lease Trust 2021-2,2022-01-31,1,1739,51728446.900000006,0.0,4567.5
BMW Vehicle Lease Trust 2021-2,2022-01-31,2,591,17169579.73,0.0,10078.679999999998
BMW Vehicle Lease Trust 2021-2,2022-01-31,3,5,129380.25,222909.25,0.0
BMW Vehicle Lease Trust 2021-2,2022-01-31,4,4,104114.15,0.0,0.0
BMW Vehicle Lease Trust 2021-2,2022-02-28,4,4,110466.6,0.0,0.0
BMW Vehicle Lease Trust 2021-2,2022-03-31,4,6,156017.8,0.0,0.0
BMW Vehicle Lease Trust 2021-2,2022-04-30,4,8,295744.15,0.0,0.0
BMW Vehicle Lease Trust 2021-2,2022-05-31,4,7,276349.5,0.0,0.0
BMW Vehicle Lease Trust 2021-2,2022-06-30,4,2,64410.8,0.0,0.0
BMW Vehicle Lease Trust 2021-2,2022-07-31,4,13,404840.95,0.0,0.0
BMW Vehicle Lease Trust 2021-2,2022-08-31,4,6,145118.7,0.0,0.0
BMW Vehicle Lease Trust 2021-2,2022-09-30,4,5,133477.45,0.0,0.0
BMW Vehicle Lease Trust 2021-2,2022-10-31,4,3,76944.8,0.0,0.0
BMW Vehicle Lease Trust 2021-2,2022-11-30,4,3,98612.05,0.0,0.0
BMW Vehicle Lease Trust 2021-2,2022-12-31,4,6,187944.19999999998,0.0,0.0
BMW Vehicle Lease Trust 2021-2,2023-01-31,1,2905,87064748.8,0.0,8393.84
BMW Vehicle Lease Trust 2021-2,2023-01-31,2,8957,242566181.17000002,0.0,407936.57
BMW Vehicle Lease Trust 2021-2,2023-01-31,3,19,518232.0,831756.55,0.0
BMW Vehicle Lease Trust 2021-2,2023-01-31,4,8,234741.5,0.0,0.0
BMW Vehicle Lease Trust 2021-2,2023-01-31,98,3,82779.4,45444.51,0.0
BMW Vehicle Lease Trust 2021-2,2023-02-28,1,163,4885448.3,0.0,0.25
BMW Vehicle Lease Trust 2021-2,2023-02-28,2,819,22156145.76,0.0,84947.12
BMW Vehicle Lease Trust 2021-2,2023-02-28,3,3,88080.35,132622.41999999998,0.0
BMW Vehicle Lease Trust 2021-2,2023-02-28,4,1,20424.6,0.0,0.0
BMW Vehicle Lease Trust 2021-2,2023-03-31,1,219,6527194.35,0.0,0.0
BMW Vehicle Lease Trust 2021-2,2023-03-31,2,878,23982215.62,0.0,103843.70000000001
BMW Vehicle Lease Trust 2021-2,2023-03-31,3,4,147635.5,206783.14,0.0
BMW Vehicle Lease Trust 2021-2,2023-03-31,4,4,149314.55,0.0,0.0
BMW Vehicle Lease Trust 2021-2,2023-03-31,98,1,19492.2,0.0,0.0
BMW Vehicle Lease Trust 2021-2,2023-04-30,1,232,6846570.699999999,0.0,2693.1
BMW Vehicle Lease Trust 2021-2,2023-04-30,2,738,20220511.98,0.0,60449.71
BMW Vehicle Lease Trust 2021-2,2023-04-30,3,2,43467.1,45887.81,0.0
BMW Vehicle Lease Trust 2021-2,2023-04-30,4,1,25857.6,0.0,0.0
BMW Vehicle Lease Trust 2021-2,2023-04-30,98,3,103395.03,0.0,0.0
BMW Vehicle Lease Trust 2021-2,2023-05-31,1,254,7592250.8,0.0,11841.06
BMW Vehicle Lease Trust 2021-2,2023-05-31,2,860,23553484.099999998,0.0,58789.409999999996
BMW Vehicle Lease Trust 2021-2,2023-05-31,3,6,202411.39999999997,273494.31,0.0
BMW Vehicle Lease Trust 2021-2,2023-05-31,4,6,152896.30000000002,0.0,0.0
BMW Vehicle Lease Trust 2021-2,2023-05-31,98,3,67337.09999999999,762.79,0.0
BMW Vehicle Lease Trust 2021-2,2023-06-30,1,225,7035779.850000001,0.0,15223.78
BMW Vehicle Lease Trust 2021-2,2023-06-30,2,920,24887716.35,0.0,69169.57999999999
BMW Vehicle Lease Trust 2021-2,2023-06-30,3,5,119621.04999999999,169309.75,0.0
BMW Vehicle Lease Trust 2021-2,2023-06-30,4,5,151145.1,0.0,0.0
BMW Vehicle Lease Trust 2021-2,2023-06-30,98,1,31898.9,0.0,0.0
BMW Vehicle Lease Trust 2021-2,2023-07-31,1,189,5564673.2,0.0,0.0
BMW Vehicle Lease Trust 2021-2,2023-07-31,2,741,20427305.950000003,0.0,56574.619999999995
BMW Vehicle Lease Trust 2021-2,2023-07-31,3,2,53722.7,69951.41,0.0
