series,reporting_date,active_count,count_current,count_30_59,count_60_plus,balance_total,sec_value_total,base_residual_total,vehicle_value_total,alg_count,blackbook_count,other_source_count,vintage_month
Ford Credit Auto Lease Trust 2018-B,2018-10-31,51778,51456,302,20,1562419555.5500011,1216112205.8599963,925304113.0100005,2054079943.0900214,49303,0,2475,2
Ford Credit Auto Lease Trust 2018-B,2019-10-31,43214,42803,343,68,1123803472.9400005,909647039.9599999,775194459.8499998,1728973798.5400171,41258,0,1956,14
Ford Credit Auto Lease Trust 2018-B,2020-10-31,22472,22221,218,33,517265730.35999894,427974392.81999826,404137414.3699998,913943134.569999,21875,0,597,26
Ford Credit Auto Lease Trust 2018-B,2018-11-30,51544,51202,308,34,1534750973.3600056,1198805269.360005,921517306.6600002,2045774023.8000135,49083,0,2461,3
Ford Credit Auto Lease Trust 2018-B,2019-11-30,41999,41564,384,51,1080628322.4299881,876232826.050006,753482123.3199993,1681657909.3700147,40130,0,1869,15
Ford Credit Auto Lease Trust 2018-B,2020-11-30,20671,20439,187,45,471151298.10000116,391069950.0299994,372973408.47000027,842005240.6500026,20120,0,551,27
Ford Credit Auto Lease Trust 2018-B,2018-12-31,51276,50861,371,44,1506422722.600003,1180836043.8600037,916761992.4100002,2035350247.1400208,48829,0,2447,4
Ford Credit Auto Lease Trust 2018-B,2019-12-31,40785,40293,417,75,1036174883.2499964,843578318.8700022,731917447.5899992,1634738285.4900143,38987,0,1798,16
Ford Credit Auto Lease Trust 2018-B,2020-12-31,18646,18390,217,39,420662786.6899968,351153798.31999993,338074682.6700003,760958379.5200013,18139,0,507,28
Ford Credit Auto Lease Trust 2019-A,2019-01-31,52601,52573,28,0,1617908228.8700054,1248442991.3000002,947183208.8600004,2119814979.2700202,50747,0,1854,0
Ford Credit Auto Lease Trust 2019-A,2020-01-31,44446,44053,332,61,1189708582.6699994,956947109.1700044,811740363.6800004,1812843884.5900187,42927,0,1519,12
Ford Credit Auto Lease Trust 2019-A,2021-01-31,24380,24155,181,44,586120455.3499985,485403062.8600002,453103106.31999975,1018754235.2300045,23770,0,610,24
Ford Credit Auto Lease Trust 2019-A,2019-02-28,52492,52259,233,0,1593394828.6900177,1233685545.9500053,945403747.7900004,2115781345.2500257,50646,0,1846,1
Ford Credit Auto Lease Trust 2019-A,2021-02-28,22557,22347,167,43,537543212.6299999,445695252.3400001,419701070.6599996,944267046.7800034,22007,0,550,25
Ford Credit Auto Lease Trust 2019-A,2020-02-29,43175,42847,278,50,1145602239.6500125,923556181.3100001,789424964.3300003,1763819051.4500196,41735,0,1440,13
Ford Credit Auto Lease Trust 2019-A,2019-03-31,52305,52078,208,19,1566598879.160015,1217377017.8799782,942408529.7400004,2108939133.6900258,50470,0,1835,2
Ford Credit Auto Lease Trust 2019-A,2020-03-31,42193,41849,288,56,1105963477.1199992,895030196.9199996,772102717.9799998,1726005722.060007,40820,0,1373,14
Ford Credit Auto Lease Trust 2019-A,2021-03-31,20295,20133,122,40,476268378.0899993,396402622.419998,376699196.34999955,850021372.3100024,19819,0,476,26
Ford Credit Auto Lease Trust 2019-A,2019-04-30,52028,51778,225,25,1537135599.8600051,1199405620.2299929,937898709.7400007,2098721146.2000234,50203,0,1825,3
Ford Credit Auto Lease Trust 2019-A,2020-04-30,41842,41538,226,78,1081629195.2799928,878431579.400006,766057710.6800001,1712436834.620012,40490,0,1352,15
Ford Credit Auto Lease Trust 2019-A,2021-04-30,17737,17586,125,26,410756418.6199988,342213212.0500001,327691413.6999999,742814413.1900003,17332,0,405,27
Ford Credit Auto Lease Trust 2019-A,2019-05-31,51707,51413,268,26,1507857099.3500075,1181120088.9499955,932961367.4899999,2087293987.5300136,49903,0,1804,4
Ford Credit Auto Lease Trust 2019-A,2020-05-31,40903,40600,220,83,1045856747.4399912,851084084.2900033,749180865.2700005,1676079028.9600177,39626,0,1277,16
Ford Credit Auto Lease Trust 2019-A,2021-05-31,15265,15132,106,27,349843470.78000134,291861673.1999994,281412699.72999996,640249289.7800004,14913,0,352,28
