series,term_period,term_code,n,scheduled_residual,realized_proceeds,excess_fees
GM Financial Automobile Leasing Trust 2017-2,2017-11-30,2,132,2219719.9,2235974.92,4600.1900000000005
GM Financial Automobile Leasing Trust 2017-2,2017-11-30,3,57,905679.2,1075269.75,0.0
GM Financial Automobile Leasing Trust 2017-2,2017-11-30,98,34,520546.35000000003,838525.45,0.0
GM Financial Automobile Leasing Trust 2017-2,2017-12-31,1,99,1990328.9000000001,3333775.55,0.0
GM Financial Automobile Leasing Trust 2017-2,2017-12-31,2,155,2574710.3,2563616.79,3398.07
GM Financial Automobile Leasing Trust 2017-2,2017-12-31,3,44,749618.4999999999,934505.81,0.0
GM Financial Automobile Leasing Trust 2017-2,2017-12-31,98,39,584291.05,841156.15,0.0
GM Financial Automobile Leasing Trust 2017-2,2018-01-31,1,7,130137.25,165082.93,0.0
GM Financial Automobile Leasing Trust 2017-2,2018-01-31,2,143,2561171.7,2635561.19,6509.37
GM Financial Automobile Leasing Trust 2017-2,2018-01-31,3,39,646315.2,687911.85,741.46
GM Financial Automobile Leasing Trust 2017-2,2018-01-31,98,14,251990.6,326460.37000000005,0.0
GM Financial Automobile Leasing Trust 2017-2,2018-02-28,1,18,323329.30000000005,425526.41000000003,0.0
GM Financial Automobile Leasing Trust 2017-2,2018-02-28,2,174,3080328.25,3116436.8299999996,3081.27
GM Financial Automobile Leasing Trust 2017-2,2018-02-28,3,46,698238.9999999999,839070.0100000001,0.0
GM Financial Automobile Leasing Trust 2017-2,2018-02-28,98,37,507946.15,694683.3099999999,0.0
GM Financial Automobile Leasing Trust 2017-2,2018-03-31,1,361,8036903.75,12398432.49,0.0
GM Financial Automobile Leasing Trust 2017-2,2018-03-31,2,348,5993462.77,6260943.66,12594.66
GM Financial Automobile Leasing Trust 2017-2,2018-03-31,3,62,1032907.2500000001,1233809.29,0.0
GM Financial Automobile Leasing Trust 2017-2,2018-03-31,98,34,531866.7,686522.5,0.0
GM Financial Automobile Leasing Trust 2017-2,2018-04-30,1,164,3279607.8499999996,5072085.859999999,0.0
GM Financial Automobile Leasing Trust 2017-2,2018-04-30,2,283,5048249.65,5278039.9,19064.01
GM Financial Automobile Leasing Trust 2017-2,2018-04-30,3,51,805103.2999999999,937621.11,0.0
GM Financial Automobile Leasing Trust 2017-2,2018-04-30,98,42,696459.9500000001,959629.6799999999,0.0
GM Financial Automobile Leasing Trust 2017-2,2018-05-31,1,176,3529719.4699999997,5390741.24,0.0
GM Financial Automobile Leasing Trust 2017-2,2018-05-31,2,455,8061081.42,8639710.78,10371.990000000002
GM Financial Automobile Leasing Trust 2017-2,2018-05-31,3,61,930672.95,1127974.8199999998,0.0
GM Financial Automobile Leasing Trust 2017-2,2018-05-31,98,29,495562.35,591870.9199999999,0.0
GM Financial Automobile Leasing Trust 2017-2,2018-06-30,1,207,4358526.35,6454595.890000001,0.0
GM Financial Automobile Leasing Trust 2017-2,2018-06-30,2,606,10794677.239999998,11588650.52,18885.940000000002
GM Financial Automobile Leasing Trust 2017-2,2018-06-30,3,77,1244281.6,1483043.97,0.0
GM Financial Automobile Leasing Trust 2017-2,2018-06-30,98,47,792401.2499999999,911722.1699999999,0.0
GM Financial Automobile Leasing Trust 2017-2,2018-07-31,1,194,3745872.0700000003,5550562.73,0.0
GM Financial Automobile Leasing Trust 2017-2,2018-07-31,2,564,9896937.45,10724421.2,22574.989999999998
GM Financial Automobile Leasing Trust 2017-2,2018-07-31,3,56,906883.65,1127638.75,0.0
GM Financial Automobile Leasing Trust 2017-2,2018-07-31,98,41,608525.8500000001,841281.6799999999,0.0
GM Financial Automobile Leasing Trust 2017-2,2018-08-31,1,257,5181671.75,7492184.08,0.0
GM Financial Automobile Leasing Trust 2017-2,2018-08-31,2,642,11609895.350000001,12901415.41,27719.64
GM Financial Automobile Leasing Trust 2017-2,2018-08-31,3,77,1153919.75,1517238.5899999999,211.92
GM Financial Automobile Leasing Trust 2017-2,2018-08-31,98,42,661884.6499999999,818391.73,513.0
GM Financial Automobile Leasing Trust 2017-2,2018-09-30,1,230,4609403.6,6609755.050000001,0.0
GM Financial Automobile Leasing Trust 2017-2,2018-09-30,2,585,10819823.4,12138859.07,19443.170000000002
GM Financial Automobile Leasing Trust 2017-2,2018-09-30,3,40,753346.1000000001,946195.1699999999,200.94
GM Financial Automobile Leasing Trust 2017-2,2018-09-30,98,32,462521.9,628673.82,0.0
GM Financial Automobile Leasing Trust 2017-2,2018-10-31,1,271,5846302.7,8000927.610000001,0.0
GM Financial Automobile Leasing Trust 2017-2,2018-10-31,2,725,13185395.1,14703552.850000001,22173.24
GM Financial Automobile Leasing Trust 2017-2,2018-10-31,3,64,1028841.2999999999,1296119.3699999999,648.0
GM Financial Automobile Leasing Trust 2017-2,2018-10-31,98,29,435911.65,575321.95,0.0
GM Financial Automobile Leasing Trust 2017-2,2018-11-30,1,250,5138185.4,7139321.8,0.0
GM Financial Automobile Leasing Trust 2017-2,2018-11-30,2,931,16620020.05,17985472.189999998,49117.82
GM Financial Automobile Leasing Trust 2017-2,2018-11-30,3,35,525762.7000000001,661280.0,0.0
GM Financial Automobile Leasing Trust 2017-2,2018-11-30,98,33,489998.8499999999,571084.1,0.0
GM Financial Automobile Leasing Trust 2017-2,2018-12-31,1,228,4586443.649999999,6407140.12,0.0
GM Financial Automobile Leasing Trust 2017-2,2018-12-31,2,798,13720663.719999999,14719718.979999999,25799.53
GM Financial Automobile Leasing Trust 2017-2,2018-12-31,3,51,706054.5000000001,929119.6099999999,0.0
GM Financial Automobile Leasing Trust 2017-2,2018-12-31,98,34,541675.2,659705.7499999999,0.0
GM Financial Automobile Leasing Trust 2017-2,2019-01-31,1,286,5953058.949999999,7996739.9,0.0
GM Financial Automobile Leasing Trust 2017-2,2019-01-31,2,1258,22537981.450000003,23841251.54,70356.12
GM Financial Automobile Leasing Trust 2017-2,2019-01-31,3,59,901737.1,1115157.56,1534.5
GM Financial Automobile Leasing Trust 2017-2,2019-01-31,98,35,554240.15,654179.9699999999,630.25
GM Financial Automobile Leasing Trust 2017-2,2019-02-28,1,267,5593897.199999999,7228406.3100000005,0.0
GM Financial Automobile Leasing Trust 2017-2,2019-02-28,2,1345,23973341.13,25164016.15,106747.3
GM Financial Automobile Leasing Trust 2017-2,2019-02-28,3,52,860087.7000000001,988042.82,0.0
GM Financial Automobile Leasing Trust 2017-2,2019-02-28,98,23,358305.7,439481.82999999996,6259.38
GM Financial Automobile Leasing Trust 2017-2,2019-03-31,1,286,6278229.800000001,7907310.18,0.0
GM Financial Automobile Leasing Trust 2017-2,2019-03-31,2,3153,58412043.47,63785883.370000005,386452.14
GM Financial Automobile Leasing Trust 2017-2,2019-03-31,3,51,725995.9500000001,928045.5599999999,0.0
GM Financial Automobile Leasing Trust 2017-2,2019-03-31,98,40,591165.7,722729.76,834.46
GM Financial Automobile Leasing Trust 2017-2,2019-04-30,1,354,7356962.95,9287457.350000001,0.0
GM Financial Automobile Leasing Trust 2017-2,2019-04-30,2,1412,25827116.650000002,28885840.33,127820.37
GM Financial Automobile Leasing Trust 2017-2,2019-04-30,3,48,712090.4,923346.7000000001,636.66
GM Financial Automobile Leasing Trust 2017-2,2019-04-30,98,19,280495.8,305329.9,2017.25
GM Financial Automobile Leasing Trust 2017-2,2019-05-31,1,334,6881673.250000001,8762493.34,0.0
GM Financial Automobile Leasing Trust 2017-2,2019-05-31,2,1449,25840390.5,29637024.38,98787.79
GM Financial Automobile Leasing Trust 2017-2,2019-05-31,3,41,603838.35,778655.2100000001,2414.81
GM Financial Automobile Leasing Trust 2017-2,2019-05-31,98,31,441237.45,426225.2900000001,0.0
GM Financial Automobile Leasing Trust 2017-2,2019-06-30,1,342,6887615.01,8764036.39,0.0
GM Financial Automobile Leasing Trust 2017-2,2019-06-30,2,1563,27922719.09,32001752.53,143388.79
GM Financial Automobile Leasing Trust 2017-2,2019-06-30,3,22,302233.75,315149.29,3610.47
GM Financial Automobile Leasing Trust 2017-2,2019-06-30,98,23,386515.85,401164.75999999995,0.0
GM Financial Automobile Leasing Trust 2017-2,2019-07-31,1,453,8938467.85,11378919.559999999,0.0
GM Financial Automobile Leasing Trust 2017-2,2019-07-31,2,1821,32088532.43,36760434.67,164994.19
GM Financial Automobile Leasing Trust 2017-2,2019-07-31,3,18,321798.15,336739.01,0.0
GM Financial Automobile Leasing Trust 2017-2,2019-07-31,98,25,397107.65,483857.74,2015.0
GM Financial Automobile Leasing Trust 2017-2,2019-08-31,1,467,8927014.2,11126605.77,0.0
GM Financial Automobile Leasing Trust 2017-2,2019-08-31,2,1794,31168555.61,34697932.559999995,155160.33000000002
GM Financial Automobile Leasing Trust 2017-2,2019-08-31,3,23,361811.25,378118.88999999996,0.0
GM Financial Automobile Leasing Trust 2017-2,2019-08-31,98,12,211211.09999999998,172561.92,0.0
GM Financial Automobile Leasing Trust 2017-2,2019-09-30,1,472,9053886.600000001,11315275.52,0.0
GM Financial Automobile Leasing Trust 2017-2,2019-09-30,2,1775,30010587.35,32839441.67,144235.22
GM Financial Automobile Leasing Trust 2017-2,2019-09-30,3,22,358659.15,299328.66,0.0
GM Financial Automobile Leasing Trust 2017-2,2019-09-30,98,23,294617.5,299746.63,0.0
GM Financial Automobile Leasing Trust 2017-2,2019-10-31,1,468,9016870.5,11042414.57,0.0
GM Financial Automobile Leasing Trust 2017-2,2019-10-31,2,1952,33051250.7,35780548.17,127899.37
GM Financial Automobile Leasing Trust 2017-2,2019-10-31,3,23,408833.49999999994,386029.05000000005,0.0
GM Financial Automobile Leasing Trust 2017-2,2019-10-31,98,20,301815.55,336440.39,0.0
GM Financial Automobile Leasing Trust 2017-2,2019-11-30,1,322,5848072.35,7180228.68,0.0
GM Financial Automobile Leasing Trust 2017-2,2019-11-30,2,1377,22697454.75,24569120.73,68033.88
GM Financial Automobile Leasing Trust 2017-2,2019-11-30,3,16,258296.8,216398.1,459.0
GM Financial Automobile Leasing Trust 2017-2,2019-11-30,98,23,327186.8,338173.79999999993,0.0
GM Financial Automobile Leasing Trust 2017-2,2019-12-31,1,351,6661365.15,8105620.24,0.0
GM Financial Automobile Leasing Trust 2017-2,2019-12-31,2,466,7495365.139999999,8350078.9799999995,10943.8
GM Financial Automobile Leasing Trust 2017-2,2019-12-31,3,21,307502.75,324408.16000000003,200.65
GM Financial Automobile Leasing Trust 2017-2,2019-12-31,98,27,370005.05000000005,292605.6,0.0
GM Financial Automobile Leasing Trust 2017-2,2020-01-31,1,456,8294809.1,10008725.42,0.0
GM Financial Automobile Leasing Trust 2017-2,2020-01-31,2,5945,106307465.53999999,97909519.89,566801.8200000001
GM Financial Automobile Leasing Trust 2017-2,2020-01-31,3,17,289030.9,186072.25,0.0
GM Financial Automobile Leasing Trust 2017-2,2020-01-31,98,20,337158.9,203735.36,0.0
GM Financial Automobile Leasing Trust 2017-2,2020-02-29,1,390,6959087.85,8416037.31,0.0
GM Financial Automobile Leasing Trust 2017-2,2020-02-29,2,2112,36458878.05,15563538.1,132339.21000000002
GM Financial Automobile Leasing Trust 2017-2,2020-02-29,3,18,278105.55,0.0,0.0
GM Financial Automobile Leasing Trust 2017-2,2020-02-29,98,17,278748.9,102050.76000000001,0.0
GM Financial Automobile Leasing Trust 2017-3,2017-08-31,1,86,1825854.9000000001,3059353.4899999993,0.0
GM Financial Automobile Leasing Trust 2017-3,2017-08-31,2,13,221197.85,253336.31,0.0
GM Financial Automobile Leasing Trust 2017-3,2017-08-31,3,23,350576.4000000001,505485.12000000005,0.0
GM Financial Automobile Leasing Trust 2017-3,2017-08-31,4,1,21690.25,0.0,0.0
GM Financial Automobile Leasing Trust 2017-3,2017-08-31,98,24,303688.9,486981.93000000005,0.0
