series,term_period,term_code,n,scheduled_residual,realized_proceeds,excess_fees
Nissan Auto Lease Trust 2017-B,2019-02-28,98,19,263489.15,177453.87000000002,0.0
Nissan Auto Lease Trust 2017-B,2019-03-31,1,573,7484019.35,8481513.54,0.0
Nissan Auto Lease Trust 2017-B,2019-03-31,2,2752,37457330.45,40752805.75999999,198895.84
Nissan Auto Lease Trust 2017-B,2019-03-31,3,31,405407.44999999995,406867.33999999997,0.0
Nissan Auto Lease Trust 2017-B,2019-03-31,98,21,253512.85,187745.65,0.0
Nissan Auto Lease Trust 2017-B,2019-04-30,1,630,8333402.449999999,9489701.79,0.0
Nissan Auto Lease Trust 2017-B,2019-04-30,2,3055,42135913.05,45732595.47,230442.86
Nissan Auto Lease Trust 2017-B,2019-04-30,3,35,460175.1,455032.0,0.0
Nissan Auto Lease Trust 2017-B,2019-04-30,98,19,269074.55000000005,231093.02000000002,0.0
Nissan Auto Lease Trust 2017-B,2019-05-31,1,760,9939856.2,11585799.69,0.0
Nissan Auto Lease Trust 2017-B,2019-05-31,2,3517,49135610.480000004,53368947.75,185914.72
Nissan Auto Lease Trust 2017-B,2019-05-31,3,37,507302.15,519528.8,0.0
Nissan Auto Lease Trust 2017-B,2019-05-31,98,11,160724.95,106569.4,0.0
Nissan Auto Lease Trust 2017-B,2019-06-30,1,711,9546123.85,11143925.190000001,0.0
Nissan Auto Lease Trust 2017-B,2019-06-30,2,3066,43100608.49,47314022.61,161549.19
Nissan Auto Lease Trust 2017-B,2019-06-30,3,19,252503.65000000002,256958.28,0.0
Nissan Auto Lease Trust 2017-B,2019-06-30,98,21,286820.25,195874.06,0.0
Nissan Auto Lease Trust 2017-B,2019-07-31,1,856,11518314.9,13570393.850000001,0.0
Nissan Auto Lease Trust 2017-B,2019-07-31,2,3085,43910079.81,48161934.91,225214.54
Nissan Auto Lease Trust 2017-B,2019-07-31,3,15,220825.75,257104.0,0.0
Nissan Auto Lease Trust 2017-B,2019-07-31,98,20,296484.25,209572.93,0.0
Nissan Auto Lease Trust 2017-B,2019-08-31,1,997,13439802.3,16041696.9,0.0
Nissan Auto Lease Trust 2017-B,2019-08-31,2,2530,36174809.199999996,38998638.82,136724.58000000002
Nissan Auto Lease Trust 2017-B,2019-08-31,3,10,165314.40000000002,171111.0,0.0
