series,reporting_date,active_count,count_current,count_30_59,count_60_plus,balance_total,sec_value_total,base_residual_total,vehicle_value_total,alg_count,blackbook_count,other_source_count,vintage_month
Nissan Auto Lease Trust 2018-A,2020-09-30,19582,19421,88,73,382870814.9600008,313609445.3099997,283386930.0500022,663263375.0,19535,0,47,24
Nissan Auto Lease Trust 2018-A,2018-10-31,43043,42795,231,17,1130632138.019996,888885352.0099983,613854503.6999899,1421546493.03,42887,0,156,1
Nissan Auto Lease Trust 2018-A,2019-10-31,37534,37082,350,102,830457203.6699977,667769007.6900012,538520224.5999942,1246332774.03,37416,0,118,13
Nissan Auto Lease Trust 2018-A,2020-10-31,17440,17165,200,75,337831217.5799984,277469039.8700003,253338843.75000134,591048980.0,17395,0,45,25
Nissan Auto Lease Trust 2018-A,2018-11-30,42868,42702,119,47,1110055227.8599916,874452575.1499981,611368866.8499953,1415679168.03,42712,0,156,2
Nissan Auto Lease Trust 2018-A,2019-11-30,36352,36092,147,113,794277015.5299984,639870921.0199956,521756217.19999707,1208151344.03,36239,0,113,14
Nissan Auto Lease Trust 2018-A,2020-11-30,15448,15277,88,83,297126277.36999875,244723305.98999918,225961579.15000218,524516470.0,15408,0,40,26
Nissan Auto Lease Trust 2018-A,2018-12-31,42651,42248,331,72,1088760599.0699925,859337725.3099959,608475030.0999953,1408848668.03,42498,0,153,3
Nissan Auto Lease Trust 2018-A,2019-12-31,34896,34419,357,120,754061591.9600033,608581522.3600042,501213035.3499977,1161593439.0,34787,0,109,15
Nissan Auto Lease Trust 2018-A,2020-12-31,13320,13059,175,86,254223933.66999966,210085720.21000007,196010444.65000275,452839540.0,13284,0,36,27
Nissan Auto Lease Trust 2019-A,2020-01-31,68890,68279,447,164,1587594936.7299824,1219989465.0299983,940295982.2800277,2310886383.09,68821,0,69,10
Nissan Auto Lease Trust 2019-A,2021-01-31,36592,36122,347,123,753612799.5599976,584261897.7500004,513721440.7499982,1269201845.0,36565,0,27,22
Nissan Auto Lease Trust 2019-A,2021-02-28,33909,33530,278,101,692022643.3599979,536541849.8299977,477469748.6000059,1180233650.0,33887,0,22,23
Nissan Auto Lease Trust 2019-A,2020-02-29,67738,67308,307,123,1538749480.2899992,1183473790.1000056,924848174.8800257,2273803878.09,67671,0,67,11
Nissan Auto Lease Trust 2019-A,2019-03-31,74401,74401,0,0,1981972516.86999,1506027540.2399995,1012381739.0800177,2486333653.09,74316,0,85,0
Nissan Auto Lease Trust 2019-A,2020-03-31,66118,65491,515,112,1482760523.6399975,1141339221.1500013,903663665.9300091,2222622260.09,66055,0,63,12
Nissan Auto Lease Trust 2019-A,2021-03-31,30246,29935,240,71,612541411.5899985,474546672.8299994,426770120.5500053,1056381045.0,30229,0,17,24
Nissan Auto Lease Trust 2019-A,2019-04-30,74141,73963,177,1,1947739393.6200013,1482023009.019997,1009139586.3799999,2478272468.09,74057,0,84,1
Nissan Auto Lease Trust 2019-A,2020-04-30,64868,64470,248,150,1434281206.6099977,1104976031.0400069,886823468.2800083,2182156955.09,64807,0,61,13
Nissan Auto Lease Trust 2019-A,2021-04-30,27238,26963,196,79,547119822.2800007,423704879.8899981,386058691.4000045,955975730.0,27221,0,17,25
Nissan Auto Lease Trust 2019-A,2019-05-31,73795,73454,282,59,1911824943.9999917,1456642050.4999983,1004792819.0299982,2467548258.09,73711,0,84,2
Nissan Auto Lease Trust 2019-A,2020-05-31,62634,61788,666,180,1369582768.1700008,1056081777.099998,856723798.480001,2110352066.0900002,62578,0,56,14
Nissan Auto Lease Trust 2019-A,2021-05-31,23821,23560,181,80,474595019.6499979,367505182.31999916,339061310.25000054,839559255.0,23807,0,14,26
Nissan Auto Lease Trust 2019-A,2019-06-30,73432,73121,228,83,1875370657.6500132,1430664917.619998,1000036894.1800219,2455944183.09,73350,0,82,3
Nissan Auto Lease Trust 2019-A,2020-06-30,59649,59168,301,180,1292345075.0899973,997316512.9600008,816587555.2000024,2014320174.09,59600,0,49,15
Nissan Auto Lease Trust 2019-A,2021-06-30,20168,19978,126,64,399399151.5100007,309186327.93999946,288703172.74999857,714976010.0,20156,0,12,27
Nissan Auto Lease Trust 2019-A,2019-07-31,72961,72429,429,103,1836666189.4300184,1402790823.410005,993858356.0800136,2440896898.09,72879,0,82,4
Nissan Auto Lease Trust 2019-A,2020-07-31,56490,55926,408,156,1214553745.7100039,937977422.009996,775260002.7500005,1914150945.0,56445,0,45,16
Nissan Auto Lease Trust 2019-A,2021-07-31,16865,16636,173,56,331833728.5600002,256917443.14000005,242828728.4500006,600974050.0,16858,0,7,28
Nissan Auto Lease Trust 2019-A,2019-08-31,72491,71885,466,140,1798274162.5400114,1375044422.829997,987637701.8800006,2425760753.09,72409,0,82,5
Nissan Auto Lease Trust 2019-A,2020-08-31,53634,53095,394,145,1142913409.2100024,883384854.1800029,738084454.9500015,1822909745.0,53591,0,43,17
Nissan Auto Lease Trust 2019-A,2021-08-31,13632,13443,138,51,268063678.90000123,207915610.00000107,198826014.1499979,490767035.0,13626,0,6,29
Nissan Auto Lease Trust 2019-A,2019-09-30,71936,71499,293,144,1758179923.3299742,1345850346.5600042,980240297.2799985,2407749798.09,71855,0,81,6
Nissan Auto Lease Trust 2019-A,2020-09-30,50021,49637,235,149,1060016146.5500004,820037606.45,692001796.2000015,1709168915.0,49981,0,40,18
Nissan Auto Lease Trust 2019-A,2019-10-31,71262,70667,473,122,1716382707.2799797,1315226729.3100133,971504266.6299996,2386445718.09,71184,0,78,7
Nissan Auto Lease Trust 2019-A,2020-10-31,46427,45914,366,147,976983363.9599919,756383951.4700073,644881330.2000109,1592576235.0,46391,0,36,19
Nissan Auto Lease Trust 2019-A,2019-11-30,70640,70178,331,131,1676133530.4499984,1285703150.3999972,963369361.9799993,2366675338.09,70564,0,76,8
Nissan Auto Lease Trust 2019-A,2020-11-30,42995,42609,267,119,898744236.1299968,696215623.4499979,599487355.400002,1480271865.0,42962,0,33,20
Nissan Auto Lease Trust 2019-A,2019-12-31,69930,69234,538,158,1634847628.190001,1255206096.3300004,953975322.1300043,2343994678.09,69858,0,72,9
Nissan Auto Lease Trust 2019-A,2020-12-31,39519,39012,374,133,820813998.9599967,636285438.5300007,553269694.9500016,1366016145.0,39489,0,30,21
Nissan Auto Lease Trust 2019-B,2020-01-31,70670,70063,452,155,1705615111.7699976,1324668296.0099907,987761429.6200016,2360917309.14,70625,0,45,7
Nissan Auto Lease Trust 2019-B,2021-01-31,45823,45279,384,160,973843514.4700034,768842523.6100049,656116508.3500088,1562775323.98,45796,0,27,19
Nissan Auto Lease Trust 2019-B,2021-02-28,42868,42458,301,109,903305774.3599979,713340435.6600014,614439345.400003,1466382883.98,42843,0,25,20
Nissan Auto Lease Trust 2019-B,2020-02-29,70142,69662,356,124,1667988929.9500048,1297257084.920005,980704564.2200215,2343902169.1400003,70097,0,45,8
Nissan Auto Lease Trust 2019-B,2020-03-31,69399,68747,516,136,1626610447.0100114,1266784057.5300086,970931048.570025,2320497349.14,69355,0,44,9
Nissan Auto Lease Trust 2019-B,2021-03-31,39079,38753,253,73,818154412.9999927,645930203.2500037,560638090.449999,1342121678.98,39058,0,21,21
Nissan Auto Lease Trust 2019-B,2020-04-30,68905,68437,290,178,1590391304.8999908,1240264724.2299962,964167058.1699952,2304202209.14,68862,0,43,10
Nissan Auto Lease Trust 2019-B,2021-04-30,35901,35651,163,87,745581452.7399964,588937411.7999998,516640547.24999756,1238424193.98,35885,0,16,22
Nissan Auto Lease Trust 2019-B,2020-05-31,68234,67405,661,168,1551657892.230004,1211730862.9399986,955141885.5700297,2282334179.14,68191,0,43,11
Nissan Auto Lease Trust 2019-B,2021-05-31,32717,32394,234,89,673067399.5699966,532192975.6699988,472373852.8499924,1131868225.0,32702,0,15,23
Nissan Auto Lease Trust 2019-B,2019-06-30,73534,73534,0,0,1960052381.1799877,1506024096.6199927,1025276675.0700052,2452189329.14,73480,0,54,0
Nissan Auto Lease Trust 2019-B,2020-06-30,66923,66429,331,163,1501441239.799994,1174155533.3699985,937492215.5700071,2239775949.14,66880,0,43,12
Nissan Auto Lease Trust 2019-B,2021-06-30,29694,29456,169,69,604972655.6699944,479055830.33999723,430422489.5999932,1029991235.0,29679,0,15,24
Nissan Auto Lease Trust 2019-B,2019-07-31,73239,72969,251,19,1925258148.9799993,1481680911.7200143,1021267424.1700356,2442582734.14,73186,0,53,1
Nissan Auto Lease Trust 2019-B,2020-07-31,64923,64346,421,156,1440407743.3899996,1128121848.4000096,911382529.9700255,2176523674.14,64880,0,43,13
Nissan Auto Lease Trust 2019-B,2021-07-31,26966,26675,221,70,543321611.3300024,430901349.7899989,392014856.3499936,936736315.0,26952,0,14,25
Nissan Auto Lease Trust 2019-B,2019-08-31,72902,72480,359,63,1890168413.1200008,1457010991.0099888,1016970222.8200111,2432119784.14,72850,0,52,2
