series,term_period,term_code,n,scheduled_residual,realized_proceeds,excess_fees
World Omni Automobile Lease Securitization Trust 2019-A,2021-07-31,98,4,62864.530000000006,21317.51,0.0
World Omni Automobile Lease Securitization Trust 2019-A,2021-08-31,1,2349,40993705.86,0.0,0.0
World Omni Automobile Lease Securitization Trust 2019-A,2021-08-31,2,131,2110133.75,2888634.92,20756.97
World Omni Automobile Lease Securitization Trust 2019-A,2021-08-31,3,15,255417.50999999998,302350.0,0.0
World Omni Automobile Lease Securitization Trust 2019-A,2021-08-31,98,4,77965.94,22059.6,0.0
World Omni Automobile Lease Securitization Trust 2019-A,2021-09-30,1,2433,43234949.94,0.0,0.0
World Omni Automobile Lease Securitization Trust 2019-A,2021-09-30,2,92,1521782.21,1015276.9600000001,4392.46
World Omni Automobile Lease Securitization Trust 2019-A,2021-09-30,3,14,231760.06000000003,34300.0,0.0
World Omni Automobile Lease Securitization Trust 2019-A,2021-09-30,98,6,129167.22,0.0,0.0
World Omni Automobile Lease Securitization Trust 2019-B,2020-01-31,1,1214,25360620.47,0.0,0.0
World Omni Automobile Lease Securitization Trust 2019-B,2020-01-31,2,257,5433049.85,5953770.68,62791.759999999995
World Omni Automobile Lease Securitization Trust 2019-B,2020-01-31,3,244,4322212.68,4567982.0,0.0
World Omni Automobile Lease Securitization Trust 2019-B,2020-01-31,98,113,1805101.4200000002,2652741.9,0.0
World Omni Automobile Lease Securitization Trust 2019-B,2021-01-31,1,3091,64015644.64,0.0,0.0
World Omni Automobile Lease Securitization Trust 2019-B,2021-01-31,2,638,12682909.33,14425525.68,162009.17
World Omni Automobile Lease Securitization Trust 2019-B,2021-01-31,3,477,8630469.06,9537500.67,0.0
World Omni Automobile Lease Securitization Trust 2019-B,2021-01-31,98,244,4056824.16,4782495.37,0.0
World Omni Automobile Lease Securitization Trust 2019-B,2022-01-31,1,15237,276601671.92,0.0,0.0
World Omni Automobile Lease Securitization Trust 2019-B,2022-01-31,2,501,7888054.569999999,11659108.67,55515.94
World Omni Automobile Lease Securitization Trust 2019-B,2022-01-31,3,273,4574638.27,5614425.0,0.0
World Omni Automobile Lease Securitization Trust 2019-B,2022-01-31,98,106,1715589.65,1488113.1800000002,0.0
World Omni Automobile Lease Securitization Trust 2019-B,2022-02-28,1,2469,44631220.92,0.0,0.0
World Omni Automobile Lease Securitization Trust 2019-B,2022-02-28,2,24,462626.69,655492.1,2883.7799999999997
World Omni Automobile Lease Securitization Trust 2019-B,2022-02-28,3,15,297495.3,228600.0,0.0
World Omni Automobile Lease Securitization Trust 2019-B,2022-02-28,98,2,21472.25,0.0,0.0
World Omni Automobile Lease Securitization Trust 2019-B,2022-03-31,1,3040,56261955.46,0.0,0.0
World Omni Automobile Lease Securitization Trust 2019-B,2022-03-31,2,31,631786.11,648283.6,1735.0299999999997
World Omni Automobile Lease Securitization Trust 2019-B,2022-03-31,3,14,266150.93000000005,280425.0,0.0
World Omni Automobile Lease Securitization Trust 2019-B,2022-03-31,98,3,35634.479999999996,0.0,0.0
World Omni Automobile Lease Securitization Trust 2019-B,2022-04-30,1,2262,41623640.230000004,0.0,0.0
World Omni Automobile Lease Securitization Trust 2019-B,2022-04-30,2,29,581593.17,123245.42000000001,175.0
World Omni Automobile Lease Securitization Trust 2019-B,2022-04-30,3,15,250804.24000000002,37306.240000000005,0.0
World Omni Automobile Lease Securitization Trust 2019-B,2022-04-30,98,3,72325.78,0.0,0.0
World Omni Automobile Lease Securitization Trust 2020-A,2020-01-31,1,56,1150458.72,0.0,0.0
World Omni Automobile Lease Securitization Trust 2020-A,2020-01-31,2,2,37688.53,57783.75,0.0
World Omni Automobile Lease Securitization Trust 2020-A,2020-01-31,3,3,55135.26,71800.0,0.0
World Omni Automobile Lease Securitization Trust 2020-A,2020-01-31,98,8,173957.03999999998,149028.46,0.0
World Omni Automobile Lease Securitization Trust 2020-A,2021-01-31,1,1713,35449735.699999996,0.0,0.0
