issuer_code,deal_year,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
AMCAR,2020,3,2567874.16000000,3181805837.94999552,12101599.74000000,0.00380337
AMCAR,2020,4,2063084.69000000,3181805837.94999552,14164684.43000000,0.00445178
AMCAR,2020,5,1608746.17000000,3181805837.94999552,15773430.60000000,0.00495738
AMCAR,2020,6,3491868.04000000,3181805837.94999552,19265298.64000000,0.00605483
AMCAR,2020,7,2957645.25000000,3181805837.94999552,22222943.89000000,0.00698438
AMCAR,2020,8,3441737.54000000,3181805837.94999552,25664681.43000000,0.00806607
AMCAR,2020,9,2449029.19000000,3181805837.94999552,28113710.62000000,0.00883577
AMCAR,2020,10,2352833.03000000,3181805837.94999552,30466543.65000000,0.00957524
AMCAR,2020,11,2452890.44000000,3181805837.94999552,32919434.09000000,0.01034615
AMCAR,2020,12,1616769.42000000,3181805837.94999552,34536203.51000000,0.01085428
AMCAR,2020,13,2487843.63000000,3181805837.94999552,37024047.14000000,0.01163617
AMCAR,2020,14,2365099.52000000,3181805837.94999552,39389146.66000000,0.01237949
AMCAR,2020,15,1692128.80000000,3181805837.94999552,41081275.46000000,0.01291131
AMCAR,2020,16,1776580.39000000,3181805837.94999552,42857855.85000000,0.01346966
AMCAR,2020,17,1538871.32000000,3181805837.94999552,44396727.17000000,0.01395331
AMCAR,2020,18,1604745.08000000,3181805837.94999552,46001472.25000000,0.01445766
AMCAR,2020,19,1616032.67000000,3181805837.94999552,47617504.92000000,0.01496556
AMCAR,2020,20,1294120.15000000,3181805837.94999552,48911625.07000000,0.01537228
AMCAR,2020,21,623720.44000000,3181805837.94999552,49535345.51000000,0.01556831
AMCAR,2020,22,501463.92000000,3181805837.94999552,50036809.43000000,0.01572592
AMCAR,2020,23,408641.26000000,3181805837.94999552,50445450.69000001,0.01585435
AMCAR,2021,0,3569201.32000000,4631791159.26999187,3569201.32000000,0.00077059
AMCAR,2021,1,4092583.75000000,4631791159.26999187,7661785.07000000,0.00165417
AMCAR,2021,2,4277459.17000000,4631791159.26999187,11939244.24000000,0.00257767
